score,model,n_classes,n_dim,n_points,noise_std,max_depth
0.7082494969818913,edt,8,5,2481,0.34394130503582987,8
0.5983606557377049,hdt,8,12,610,0.23453148680654623,4
0.6147540983606558,kdt,8,12,610,0.23453148680654623,4
0.5983606557377049,edt,8,12,610,0.23453148680654623,4
0.6445497630331753,hdt,9,14,1055,0.12226808652444493,3
0.6492890995260664,kdt,9,14,1055,0.12226808652444493,3
0.6018957345971564,edt,9,14,1055,0.12226808652444493,3
0.6647398843930635,hdt,8,16,861,0.11660395655123845,5
0.6589595375722543,kdt,8,16,861,0.11660395655123845,5
0.5953757225433526,edt,8,16,861,0.11660395655123845,5
0.8406072106261859,hdt,5,14,2635,0.15992022906414666,8
0.8197343453510436,kdt,5,14,2635,0.15992022906414666,8
0.8273244781783681,edt,5,14,2635,0.15992022906414666,8
0.36363636363636365,hdt,8,12,55,0.1866143056611429,7
0.2727272727272727,kdt,8,12,55,0.1866143056611429,7
0.2727272727272727,edt,8,12,55,0.1866143056611429,7
0.7368421052631579,hdt,6,13,92,0.06737400549249589,4
0.6842105263157895,kdt,6,13,92,0.06737400549249589,4
0.47368421052631576,edt,6,13,92,0.06737400549249589,4
0.6650366748166259,hdt,6,6,2045,0.4540418435299272,5
0.6601466992665037,kdt,6,6,2045,0.4540418435299272,5
0.6405867970660146,edt,6,6,2045,0.4540418435299272,5
0.4766355140186916,hdt,8,10,1067,0.41841197896472015,4
0.4672897196261682,kdt,8,10,1067,0.41841197896472015,4
0.4672897196261682,edt,8,10,1067,0.41841197896472015,4
0.834625322997416,hdt,3,7,1933,0.46432258346288413,6
0.8372093023255814,kdt,3,7,1933,0.46432258346288413,6
0.8397932816537468,edt,3,7,1933,0.46432258346288413,6
0.41555555555555557,hdt,6,16,2249,0.06991119997587647,1
0.41555555555555557,kdt,6,16,2249,0.06991119997587647,1
0.41333333333333333,edt,6,16,2249,0.06991119997587647,1
0.4311111111111111,hdt,5,6,2249,0.2697693382759038,1
0.4311111111111111,kdt,5,6,2249,0.2697693382759038,1
0.4266666666666667,edt,5,6,2249,0.2697693382759038,1
0.9476861167002012,hdt,8,6,2481,0.04205351725361517,8
0.9517102615694165,kdt,8,6,2481,0.04205351725361517,8
0.9154929577464789,edt,8,6,2481,0.04205351725361517,8
0.8873873873873874,hdt,3,14,1109,0.18961579672789058,6
0.8783783783783784,kdt,3,14,1109,0.18961579672789058,6
0.8468468468468469,edt,3,14,1109,0.18961579672789058,6
0.8894472361809045,hdt,4,15,993,0.1216341439644007,8
0.9045226130653267,kdt,4,15,993,0.1216341439644007,8
0.8743718592964824,edt,4,15,993,0.1216341439644007,8
0.6470588235294118,hdt,9,6,339,0.20898630423554576,4
0.6470588235294118,kdt,9,6,339,0.20898630423554576,4
0.6323529411764706,edt,9,6,339,0.20898630423554576,4
0.5588235294117647,hdt,8,7,166,0.17567796732746338,2
0.5588235294117647,kdt,8,7,166,0.17567796732746338,2
0.5,edt,8,7,166,0.17567796732746338,2
0.8266978922716628,hdt,3,3,2134,0.06914158670237386,2
0.8266978922716628,kdt,3,3,2134,0.06914158670237386,2
0.8313817330210773,edt,3,3,2134,0.06914158670237386,2
0.6474820143884892,hdt,7,12,694,0.3228639079002561,8
0.6258992805755396,kdt,7,12,694,0.3228639079002561,8
0.5899280575539568,edt,7,12,694,0.3228639079002561,8
0.9753623188405797,hdt,8,4,3447,0.022228307213342346,7
0.981159420289855,kdt,8,4,3447,0.022228307213342346,7
0.9797101449275363,edt,8,4,3447,0.022228307213342346,7
0.8844444444444445,hdt,4,7,2249,0.2724052233037704,6
0.8866666666666667,kdt,4,7,2249,0.2724052233037704,6
0.8688888888888889,edt,4,7,2249,0.2724052233037704,6
0.44642857142857145,hdt,9,9,279,0.3126073544010795,2
0.48214285714285715,kdt,9,9,279,0.3126073544010795,2
0.4107142857142857,edt,9,9,279,0.3126073544010795,2
0.7515060240963856,hdt,6,5,3316,0.45100129973495073,8
0.7484939759036144,kdt,6,5,3316,0.45100129973495073,8
0.75,edt,6,5,3316,0.45100129973495073,8
0.8476052249637155,hdt,2,4,3445,0.12367228956333404,8
0.8548621190130624,kdt,2,4,3445,0.12367228956333404,8
0.8476052249637155,edt,2,4,3445,0.12367228956333404,8
0.9225037257824144,hdt,3,8,3352,0.2057726942154105,3
0.9195230998509687,kdt,3,8,3352,0.2057726942154105,3
0.8777943368107303,edt,3,8,3352,0.2057726942154105,3
0.9106145251396648,hdt,4,14,2684,0.08644160543902835,5
0.8901303538175046,kdt,4,14,2684,0.08644160543902835,5
0.8789571694599627,edt,4,14,2684,0.08644160543902835,5
1.0,hdt,2,11,1468,0.04512389267581507,6
1.0,kdt,2,11,1468,0.04512389267581507,6
0.9931972789115646,edt,2,11,1468,0.04512389267581507,6
0.4950980392156863,hdt,7,10,1017,0.20582077962085338,4
0.46568627450980393,kdt,7,10,1017,0.20582077962085338,4
0.5588235294117647,edt,7,10,1017,0.20582077962085338,4
0.917098445595855,hdt,2,10,962,0.45330825500497884,5
0.9222797927461139,kdt,2,10,962,0.45330825500497884,5
0.9067357512953368,edt,2,10,962,0.45330825500497884,5
0.9817351598173516,hdt,5,14,1093,0.013825877932627573,5
0.9771689497716894,kdt,5,14,1093,0.013825877932627573,5
0.9863013698630136,edt,5,14,1093,0.013825877932627573,5
0.6857142857142857,hdt,4,4,1224,0.251862312977049,1
0.6857142857142857,kdt,4,4,1224,0.251862312977049,1
0.6530612244897959,edt,4,4,1224,0.251862312977049,1
0.9717314487632509,hdt,3,8,1415,0.1256789302852832,8
0.9717314487632509,kdt,3,8,1415,0.1256789302852832,8
0.9434628975265018,edt,3,8,1415,0.1256789302852832,8
0.8246753246753247,hdt,5,8,1540,0.16000225985606914,4
0.8246753246753247,kdt,5,8,1540,0.16000225985606914,4
0.7987012987012987,edt,5,8,1540,0.16000225985606914,4
0.9752066115702479,hdt,3,8,1207,0.1427412338693529,6
0.9793388429752066,kdt,3,8,1207,0.1427412338693529,6
0.9173553719008265,edt,3,8,1207,0.1427412338693529,6
0.9878048780487805,hdt,2,13,408,0.14490476469560154,6
0.9634146341463414,kdt,2,13,408,0.14490476469560154,6
0.9390243902439024,edt,2,13,408,0.14490476469560154,6
0.44274809160305345,hdt,9,7,2616,0.4810292240138191,2
0.44083969465648853,kdt,9,7,2616,0.4810292240138191,2
0.4255725190839695,edt,9,7,2616,0.4810292240138191,2
0.6423357664233577,hdt,4,9,685,0.47888502448304904,8
0.656934306569343,kdt,4,9,685,0.47888502448304904,8
0.6934306569343066,edt,4,9,685,0.47888502448304904,8
0.7457983193277311,hdt,7,12,2377,0.10095847612363973,3
0.7457983193277311,kdt,7,12,2377,0.10095847612363973,3
0.7436974789915967,edt,7,12,2377,0.10095847612363973,3
0.4358523725834798,hdt,8,8,2845,0.44805883511029587,2
0.4358523725834798,kdt,8,8,2845,0.44805883511029587,2
0.4446397188049209,edt,8,8,2845,0.44805883511029587,2
0.5824175824175825,hdt,8,12,454,0.297172625866892,8
0.5494505494505495,kdt,8,12,454,0.297172625866892,8
0.5164835164835165,edt,8,12,454,0.297172625866892,8
0.6438923395445134,hdt,3,3,2411,0.10573588818311247,1
0.6480331262939959,kdt,3,3,2411,0.10573588818311247,1
0.6728778467908902,edt,3,3,2411,0.10573588818311247,1
0.9525547445255474,hdt,2,11,1370,0.2347449157238548,3
0.9525547445255474,kdt,2,11,1370,0.2347449157238548,3
0.948905109489051,edt,2,11,1370,0.2347449157238548,3
0.37543859649122807,hdt,8,14,1422,0.037318498580502124,1
0.37543859649122807,kdt,8,14,1422,0.037318498580502124,1
0.36140350877192984,edt,8,14,1422,0.037318498580502124,1
0.5566600397614314,hdt,9,3,2515,0.2745428271117224,5
0.5506958250497018,kdt,9,3,2515,0.2745428271117224,5
0.588469184890656,edt,9,3,2515,0.2745428271117224,5
0.36363636363636365,hdt,5,13,55,0.44209461389989124,8
0.45454545454545453,kdt,5,13,55,0.44209461389989124,8
0.18181818181818182,edt,5,13,55,0.44209461389989124,8
0.9264497878359265,hdt,3,4,3533,0.1322359083335954,4
0.9292786421499293,kdt,3,4,3533,0.1322359083335954,4
0.9321074964639321,edt,3,4,3533,0.1322359083335954,4
0.8974358974358975,hdt,2,6,2532,0.061667075361884316,1
0.893491124260355,kdt,2,6,2532,0.061667075361884316,1
0.8954635108481263,edt,2,6,2532,0.061667075361884316,1
0.7467811158798283,hdt,6,5,1161,0.23208649547355092,3
0.7467811158798283,kdt,6,5,1161,0.23208649547355092,3
0.721030042918455,edt,6,5,1161,0.23208649547355092,3
0.5974842767295597,hdt,9,3,3177,0.21813464002129462,8
0.5990566037735849,kdt,9,3,3177,0.21813464002129462,8
0.6415094339622641,edt,9,3,3177,0.21813464002129462,8
0.7321428571428571,hdt,7,7,276,0.11724577699824956,9
0.7678571428571429,kdt,7,7,276,0.11724577699824956,9
0.5535714285714286,edt,7,7,276,0.11724577699824956,9
0.9117647058823529,hdt,2,7,169,0.2898750426661785,1
0.9117647058823529,kdt,2,7,169,0.2898750426661785,1
0.9411764705882353,edt,2,7,169,0.2898750426661785,1
